Wavelength,EQW,Pdiff(cont),Veq,vsini,i(deg),Rstar,Mstar,Teff,log(g),vfrac,Rpolar,Requat,file_name
6564.57,7.1,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i20
6564.57,7.47,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i30
6564.57,8.45,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i40
6564.57,10.26,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i50
6564.57,12.3,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i60
6564.57,13.55,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i70
6564.57,8.46,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i80
6564.57,6.01,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd35p0_halpha_alp0p0_i90
6564.57,8.45,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i0
6564.57,8.57,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i10
6564.57,8.41,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i20
6564.57,8.53,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i30
6564.57,9.46,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i40
6564.57,11.13,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i50
6564.57,13.2,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i60
6564.57,14.44,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i70
6564.57,8.73,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i80
6564.57,5.41,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd45p0_halpha_alp0p0_i90
6564.57,9.44,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i0
6564.57,9.42,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i10
6564.57,9.05,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i20
6564.57,8.91,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i30
6564.57,9.59,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i40
6564.57,11.15,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i50
6564.57,13.06,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i60
6564.57,14.09,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i70
6564.57,8.31,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i80
6564.57,4.06,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd55p0_halpha_alp0p0_i90
6564.57,-2.65,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i0
6564.57,-2.64,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i10
6564.57,-2.73,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i20
6564.57,-2.82,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i30
6564.57,-2.8,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i40
6564.57,-2.68,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i50
6564.57,-2.52,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i60
6564.57,-2.47,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i70
6564.57,-2.82,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i80
6564.57,-4.6,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd5p0_halpha_alp0p0_i90
6564.57,9.81,0.013,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i0
6564.57,9.73,0.012,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i10
6564.57,9.22,0.012,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i20
6564.57,8.95,0.013,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i30
6564.57,9.49,0.013,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i40
6564.57,10.93,0.013,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i50
6564.57,12.75,0.013,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i60
6564.57,13.62,0.013,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i70
6564.57,7.88,0.013,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i80
6564.57,3.1,0.013,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d00em12_rd65p0_halpha_alp0p0_i90
6564.57,4.96,0.011,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i0
6564.57,5.63,0.011,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i10
6564.57,6.38,0.011,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i20
6564.57,7.32,0.011,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i30
6564.57,9.05,0.011,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i40
6564.57,11.42,0.012,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i50
6564.57,13.87,0.011,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i60
6564.57,16.24,0.011,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i70
6564.57,17.32,0.012,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i80
6564.57,16.74,0.012,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd15p0_halpha_alp0p0_i90
6564.57,12.9,0.011,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i0
6564.57,14.4,0.01,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i10
6564.57,16.43,0.01,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i20
6564.57,18.67,0.011,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i30
6564.57,22.45,0.011,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i40
6564.57,27.57,0.011,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i50
6564.57,32.54,0.011,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i60
6564.57,33.69,0.011,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i70
6564.57,28.75,0.011,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i80
6564.57,38.28,0.012,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd25p0_halpha_alp0p0_i90
6564.57,20.05,0.011,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i0
6564.57,21.37,0.01,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i10
6564.57,23.47,0.01,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i20
6564.57,26.5,0.011,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i30
6564.57,31.01,0.011,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i40
6564.57,37.67,0.011,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i50
6564.57,44.47,0.011,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i60
6564.57,44.81,0.011,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i70
6564.57,33.18,0.011,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i80
6564.57,43.24,0.012,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd35p0_halpha_alp0p0_i90
6564.57,24.54,0.01,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i0
6564.57,26.07,0.01,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i10
6564.57,27.55,0.01,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i20
6564.57,30.3,0.011,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i30
6564.57,35.58,0.011,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i40
6564.57,42.67,0.011,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i50
6564.57,50.27,0.011,304.93,264.08,60.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i60
6564.57,48.41,0.011,304.93,286.54,70.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i70
6564.57,37.03,0.011,304.93,300.3,80.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i80
6564.57,41.47,0.011,304.93,304.93,90.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd45p0_halpha_alp0p0_i90
6564.57,28.24,0.01,304.93,0.0,0.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd55p0_halpha_alp0p0_i0
6564.57,29.4,0.01,304.93,52.95,10.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd55p0_halpha_alp0p0_i10
6564.57,30.75,0.01,304.93,104.29,20.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd55p0_halpha_alp0p0_i20
6564.57,33.17,0.011,304.93,152.46,30.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd55p0_halpha_alp0p0_i30
6564.57,38.3,0.011,304.93,196.0,40.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd55p0_halpha_alp0p0_i40
6564.57,46.15,0.011,304.93,233.59,50.0,3.5,4.0,13400.0,4.0,0.8,3.5,3.5,SPEC.M4p0V0p0z0p0X0p3_t8040_w0d0_j0h0_1d50_1d07em11_rd55p0_halpha_alp0p0_i50
